wavelength,watermilfoil,primrose,tule,soil,waterturbid,waterclear,npv,egeria,hyacinth,sagoturbid,pennywort,cattail,cabomba,curlyleaf,phragmites
376.859985,-0.004553,-0.003199,-0.008842,0.008917,-0.011999,-0.011446,0.031132,0.005357,0.014744,0.027803,0.001419,0.006658,0.007449,0.028332,-0.007509
381.869995,-0.015417,-0.003106,-0.016444,0.012445,0.004904,-0.00294,0.014463,-0.001955,0.00876,0.012476,0.007677,0.005494,0.005973,0.010638,-0.00887
386.880005,-0.007111,-0.004808,-0.011262,0.015792,0.001228,-0.003075,0.011186,0.00239,0.005316,0.012016,0.005406,0.002118,0.010795,0.01285,-0.006678
391.890015,-0.009787,-0.006674,-0.014249,0.014724,0.002945,-0.002326,0.007146,0.003189,0.00148,0.016122,0.011945,0.000963,0.011859,0.017461,-0.008511
396.890015,-0.006954,-0.006408,-0.009933,0.020982,0.003538,-0.002563,0.007001,0.001529,0.002664,0.015166,0.009184,0.002793,0.011172,0.014647,-0.009007
401.899994,-0.007367,-0.003786,-0.00817,0.019902,0.008684,-0.001035,0.008096,0.004069,0.004673,0.018262,0.011088,0.002746,0.010588,0.016216,-0.004872
406.910004,-0.002912,0.000099,-0.002853,0.025285,0.012132,0.001787,0.012396,0.005504,0.005312,0.020455,0.012865,0.005213,0.012258,0.017188,-0.001036
411.920013,-0.000929,0.001965,-0.001915,0.030493,0.012735,0.002953,0.017309,0.007486,0.00943,0.022311,0.014332,0.00726,0.012707,0.018242,0.000865
416.929993,0.000044,0.003895,-0.001595,0.033435,0.016975,0.005203,0.019458,0.010145,0.010449,0.024207,0.01774,0.007261,0.015087,0.019999,0.004236
421.940002,0.002389,0.006662,0.001092,0.037276,0.017801,0.006259,0.024291,0.010234,0.013597,0.025028,0.016912,0.010348,0.016518,0.021163,0.007262
426.950012,0.002377,0.008931,0.003557,0.042744,0.022106,0.007357,0.027305,0.011575,0.015085,0.027313,0.020988,0.011522,0.01772,0.022754,0.008298
431.959991,0.005357,0.01238,0.006779,0.046149,0.022083,0.009566,0.032324,0.013315,0.018152,0.029278,0.023617,0.013121,0.017499,0.023074,0.011304
436.959991,0.006953,0.013362,0.005571,0.049725,0.024043,0.009712,0.035111,0.014077,0.019482,0.029641,0.024219,0.014839,0.01831,0.02357,0.014643
441.970001,0.00766,0.015381,0.008632,0.052397,0.025739,0.010587,0.038616,0.015361,0.018156,0.032241,0.025219,0.015201,0.017606,0.023067,0.015302
446.980011,0.008476,0.016243,0.008936,0.054904,0.02869,0.011494,0.042343,0.017355,0.01953,0.0337,0.025921,0.015659,0.018063,0.024441,0.018046
451.98999,0.009898,0.018806,0.011456,0.059421,0.029733,0.012408,0.046097,0.017344,0.021733,0.034615,0.028221,0.016909,0.019954,0.026171,0.01869
457,0.011855,0.019754,0.012459,0.061347,0.032912,0.01256,0.049257,0.018271,0.021868,0.037468,0.030029,0.017946,0.020116,0.026434,0.020803
462.01001,0.011513,0.022162,0.013233,0.063864,0.033813,0.014645,0.053622,0.020349,0.024353,0.03993,0.030995,0.019662,0.020949,0.026607,0.023114
467.019989,0.012667,0.022667,0.015873,0.067193,0.035213,0.01461,0.058206,0.019962,0.024689,0.040529,0.0313,0.020176,0.02151,0.02685,0.024789
472.019989,0.013611,0.024413,0.016451,0.068433,0.036959,0.015016,0.060623,0.020522,0.025504,0.042472,0.033014,0.019356,0.021529,0.027991,0.024496
477.029999,0.013395,0.024631,0.016737,0.072907,0.039127,0.016059,0.064895,0.020674,0.026325,0.043496,0.033507,0.02192,0.021101,0.028803,0.026161
