Wavelength,water,soil,npv,veg,sav,emr
376.859985,0.004781,0.027898,0.007212,0.009784,-0.007556,0.000512
381.869995,0.000985,0.026808,0.00385,0.004635,-0.001725,-0.003249
386.880005,0.000399,0.027002,0.000377,0.005584,-0.00067,-0.004739
391.890015,0.005967,0.031104,-0.000451,0.004414,-0.00024,-0.00573
396.890015,0.005795,0.032405,-0.00035,0.002307,0.001718,-0.003899
401.899994,0.006339,0.035716,0.002961,0.004143,0.00331,-0.004481
406.910004,0.010451,0.039883,0.003976,0.005362,0.003403,-0.001421
411.920013,0.011528,0.046781,0.009958,0.009283,0.007587,0.000865
416.929993,0.015034,0.050361,0.00981,0.010819,0.008273,0.004471
421.940002,0.018288,0.054289,0.015979,0.013369,0.011073,0.005385
426.950012,0.019338,0.060461,0.018279,0.016654,0.011412,0.008913
431.959991,0.022099,0.063731,0.022666,0.018934,0.013088,0.011152
436.959991,0.0232,0.07086,0.022662,0.021175,0.015437,0.01311
441.970001,0.025997,0.074107,0.026036,0.021114,0.0159,0.013862
446.980011,0.028796,0.077195,0.029993,0.022698,0.017435,0.015365
451.98999,0.030323,0.082473,0.031352,0.024676,0.018536,0.016602
457,0.032844,0.087147,0.034496,0.02649,0.019289,0.018118
462.01001,0.035209,0.090737,0.038813,0.027723,0.019992,0.019379
467.019989,0.037408,0.095948,0.038838,0.028635,0.02113,0.020167
472.019989,0.038721,0.098502,0.041134,0.02962,0.02223,0.021207
477.029999,0.04071,0.105341,0.04403,0.030633,0.022772,0.022803
482.040009,0.043551,0.105668,0.047794,0.03188,0.023688,0.02385
487.049988,0.045277,0.111653,0.049596,0.032894,0.024906,0.025623
492.059998,0.046092,0.113637,0.052138,0.033305,0.024229,0.025158
497.070007,0.04798,0.117788,0.054105,0.034729,0.025332,0.025751
502.079987,0.049997,0.120119,0.054608,0.035571,0.024936,0.027141
507.089996,0.051247,0.123308,0.05531,0.036549,0.024287,0.027662
512.090027,0.052384,0.126235,0.057975,0.039119,0.026421,0.028929
517.099976,0.054717,0.129271,0.060163,0.045272,0.02691,0.03084
522.109985,0.056678,0.132842,0.061263,0.051192,0.026209,0.031498
527.119995,0.058422,0.137002,0.063957,0.059734,0.027009,0.03435
532.130005,0.061629,0.139291,0.066198,0.06672,0.027268,0.035903
537.140015,0.061215,0.141535,0.068668,0.071443,0.02705,0.036234
542.150024,0.064033,0.144896,0.070653,0.076292,0.027711,0.03723
547.150024,0.063661,0.147973,0.072291,0.079278,0.027202,0.038692
552.159973,0.065364,0.148435,0.074521,0.081783,0.028312,0.039793
557.169983,0.06617,0.150577,0.076485,0.081175,0.028291,0.040377
562.179993,0.067361,0.153948,0.078638,0.07892,0.0285,0.040426
567.190002,0.068156,0.156076,0.080541,0.075906,0.028382,0.040987
572.200012,0.067189,0.155518,0.082443,0.069633,0.027487,0.0408
577.210022,0.067342,0.156482,0.08454,0.065003,0.026788,0.041351
582.219971,0.067241,0.158907,0.088672,0.062376,0.026672,0.041801
587.219971,0.06445,0.159848,0.090926,0.06134,0.02687,0.044197
592.22998,0.062204,0.161458,0.094527,0.060056,0.026575,0.045122
597.23999,0.059455,0.162637,0.096844,0.059718,0.026672,0.046832
602.25,0.057395,0.165631,0.10147,0.05809,0.026825,0.049388
607.26001,0.056034,0.166236,0.103975,0.056205,0.026213,0.050476
612.27002,0.055599,0.168051,0.106881,0.053591,0.026169,0.050751
617.280029,0.054767,0.16845,0.109363,0.051525,0.02556,0.051998
622.280029,0.053791,0.16966,0.113342,0.050441,0.026028,0.053134
627.289978,0.052787,0.170403,0.115073,0.049366,0.025004,0.054205
632.299988,0.053486,0.170202,0.119206,0.049131,0.024528,0.054782
637.309998,0.053125,0.172127,0.122814,0.049076,0.024877,0.055384
642.320007,0.052706,0.173164,0.126815,0.048058,0.024907,0.055549
647.330017,0.052384,0.174169,0.129385,0.046833,0.024652,0.054073
652.340027,0.050823,0.176306,0.133528,0.044756,0.024433,0.054169
657.349976,0.047939,0.177502,0.139063,0.043629,0.02456,0.054603
662.349976,0.046315,0.177892,0.14196,0.041365,0.02371,0.052483
667.359985,0.045436,0.18061,0.145274,0.038912,0.022633,0.051321
672.369995,0.04471,0.182738,0.148102,0.038261,0.022323,0.051326
677.380005,0.043182,0.18446,0.151251,0.037254,0.021894,0.051578
682.390015,0.043172,0.186568,0.156088,0.038497,0.023483,0.053773
687.400024,0.043075,0.18596,0.160779,0.043657,0.024446,0.060437
692.409973,0.041606,0.187332,0.166291,0.053218,0.02521,0.072265
697.409973,0.042193,0.191338,0.171806,0.073995,0.02785,0.088237
702.419983,0.039784,0.194694,0.175673,0.105639,0.030912,0.106058
707.429993,0.038861,0.196162,0.180346,0.144953,0.032032,0.122714
712.440002,0.03676,0.196819,0.186315,0.190457,0.033049,0.138177
717.450012,0.033381,0.197765,0.18959,0.240776,0.032607,0.154368
722.460022,0.030481,0.200235,0.192587,0.298164,0.03104,0.169878
727.469971,0.029565,0.202197,0.197831,0.358172,0.032002,0.182093
732.47998,0.028615,0.20541,0.202911,0.406551,0.03049,0.194794
